Inference for Stan model: anon_model_ea7472b8d56bc5f84ff3510e3d923f83.
4 chains, each with iter=2000; warmup=250; thin=1; 
post-warmup draws per chain=1750, total post-warmup draws=7000.

                     mean se_mean     sd   2.5%    25%     50%    75%  97.5%  n_eff   Rhat
alpha_mu             0.09    0.14   1.06  -1.77  -0.64    0.09    0.8   2.07     55    1.1
alpha_sd             0.79    0.05   0.55   0.13   0.35     0.7   1.06   2.16    135   1.05
beta_mu             -4.06  3.4e-3   0.08  -4.25   -4.1   -4.04  -4.01  -3.96    526   1.01
beta_sd              0.12  5.4e-3   0.09   0.02   0.07     0.1   0.16   0.37    301   1.02
gamma_mu            -0.01    0.07   1.03  -1.88  -0.82  4.6e-3   0.72   1.96    190   1.03
gamma_sd             0.83    0.04   0.58   0.09   0.38    0.74   1.17   2.22    180   1.03
alpha_sub[1]         0.15     0.1   1.33  -2.51  -0.65    0.09   1.02   2.66    177   1.03
alpha_sub[2]         0.14    0.17   1.42  -2.53   -0.7    0.15   1.08   2.86     72   1.07
alpha_sub[3]         0.08    0.15   1.43  -2.58  -0.88    0.11   1.04   2.75     86   1.06
alpha_sub[4]         0.12    0.13   1.42  -2.56  -0.85    0.11   1.05   2.85    125   1.05
alpha_sub[5]         0.11    0.12   1.39  -2.54  -0.85     0.1   1.02   2.77    134   1.04
alpha_sub[6]         0.08    0.14   1.43  -2.68  -0.83    0.08   1.04   2.71    101   1.06
alpha_sub[7]         0.04     0.2   1.51  -2.78  -0.86    0.11   1.06   2.79     60   1.09
alpha_sub[8]         0.07    0.15   1.44  -2.59  -0.86    0.08   1.02   2.81     93   1.06
alpha_sub[9]         0.13    0.11   1.35  -2.59  -0.71    0.09    1.0   2.61    157   1.04
alpha_sub[10]       -0.06    0.25   1.67  -3.79  -0.93    0.05   1.02   2.78     45   1.12
beta_sub[1]         -3.94  5.1e-3   0.05  -4.03  -3.96   -3.94   -3.9  -3.85     77   1.06
beta_sub[2]         -3.98  3.6e-3   0.04  -4.07  -4.02   -3.98  -3.95   -3.9    152   1.03
beta_sub[3]         -4.08  9.3e-3   0.16  -4.49  -4.14   -4.04  -3.98  -3.86    308   1.02
beta_sub[4]         -4.13  8.8e-3   0.15  -4.51  -4.19    -4.1  -4.04  -3.97    291   1.02
beta_sub[5]         -4.13    0.01   0.17  -4.54  -4.19   -4.08  -4.02  -3.94    259   1.02
beta_sub[6]         -4.12  6.1e-3   0.16  -4.51  -4.17   -4.09  -4.02  -3.92    661   1.01
beta_sub[7]         -4.03  8.7e-4   0.04  -4.12  -4.05   -4.02   -4.0  -3.96   2180    1.0
