Inference for Stan model: anon_model_d10ebdd1a104db4fafc4beb30cd88930.
4 chains, each with iter=2000; warmup=250; thin=1; 
post-warmup draws per chain=1750, total post-warmup draws=7000.

                     mean se_mean     sd   2.5%    25%     50%    75%  97.5%  n_eff   Rhat
alpha_mu             0.26    0.03   0.93  -1.57  -0.37    0.29    0.9   2.07   1203   1.01
alpha_sd             0.79    0.03   0.56    0.1   0.33    0.66    1.1   2.18    287    1.0
beta_mu             -4.06  2.5e-3   0.08  -4.26   -4.1   -4.05  -4.01  -3.96    976    1.0
beta_sd              0.13  4.2e-3    0.1   0.02   0.06     0.1   0.16   0.39    570   1.01
gamma_mu           7.2e-3    0.03   0.99   -1.9  -0.69 -8.8e-3    0.7    1.9   1156   1.01
gamma_sd             0.87    0.03   0.59   0.11   0.41    0.75   1.21    2.3    373   1.01
alpha_sub[1]         0.38    0.03   1.31  -2.22  -0.41     0.4   1.19   2.93   1908    1.0
alpha_sub[2]         0.35    0.03   1.27  -2.13  -0.42    0.32    1.1   2.85   1841    1.0
alpha_sub[3]         0.23    0.03   1.34  -2.51  -0.57    0.25   1.03   2.81   1937    1.0
alpha_sub[4]         0.26    0.03   1.34  -2.47  -0.54    0.28   1.07   2.89   1763    1.0
alpha_sub[5]         0.26    0.03   1.32  -2.38  -0.55    0.27   1.07   2.86   1747    1.0
alpha_sub[6]         0.25    0.03   1.33  -2.36  -0.58    0.28   1.06   2.88   1944    1.0
alpha_sub[7]         0.28    0.03   1.33   -2.4  -0.55    0.26   1.11   2.95   1831    1.0
alpha_sub[8]         0.26    0.03   1.33   -2.6  -0.55    0.29   1.08   2.83   1921    1.0
alpha_sub[9]         0.26    0.03   1.32  -2.45  -0.56     0.3    1.1   2.85   1861   1.01
alpha_sub[10]        0.26    0.03   1.32   -2.4  -0.54    0.29   1.09   2.88   2004    1.0
beta_sub[1]         -3.94  1.5e-3   0.04  -4.04  -3.97   -3.94  -3.91  -3.87    804   1.01
beta_sub[2]         -3.98  9.2e-4   0.04  -4.08  -4.01   -3.98  -3.95   -3.9   2333    1.0
beta_sub[3]         -4.09  4.4e-3   0.16  -4.49  -4.15   -4.06  -3.99  -3.87   1378    1.0
beta_sub[4]         -4.13  4.7e-3   0.14   -4.5   -4.2    -4.1  -4.04  -3.97    912    1.0
beta_sub[5]         -4.13  6.0e-3   0.16  -4.57  -4.19   -4.09  -4.02  -3.94    733    1.0
beta_sub[6]         -4.12  5.3e-3   0.17  -4.55  -4.18   -4.08  -4.02  -3.93    987    1.0
beta_sub[7]         -4.03  1.1e-3   0.04  -4.13  -4.06   -4.03   -4.0  -3.96   1546    1.0
beta_sub[8]         -4.11  5.1e-3   0.14  -4.45  -4.15   -4.07  -4.02  -3.95    745   1.01
beta_sub[9]          -4.1  4.8e-3   0.16  -4.52  -4.16   -4.07   -4.0  -3.89   1119    1.0
beta_sub[10]         -4.1  3.9e-3   0.13  -4.43  -4.14   -4.07  -4.02  -3.95   1029    1.0
gamma_sub[1]         0.02    0.04   1.42  -2.78  -0.85  2.7e-3   0.91   2.76   1601    1.0
gamma_sub[2]      -7.9e-3    0.03   1.42  -2.84  -0.89   -0.02   0.87    2.8   2088    1.0
gamma_sub[3]       6.9e-3    0.03   1.42  -2.74   -0.9 -5.7e-3    0.9   2.92   1847    1.0
gamma_sub[4]      -6.1e-3    0.03   1.43  -2.86   -0.9   -0.01    0.9   2.85   1935    1.0
gamma_sub[5]      -3.7e-3    0.03   1.43  -2.89  -0.91   -0.02   0.93   2.82   1813    1.0
gamma_sub[6]        -0.01    0.03   1.43  -2.86  -0.92 -6.1e-3   0.89   2.76   1762    1.0
gamma_sub[7]         0.02    0.03   1.45  -2.88  -0.91    0.01   0.94   2.87   1784    1.0
gamma_sub[8]       5.5e-3    0.03   1.44  -2.78  -0.91 -8.4e-3   0.92   2.89   1958    1.0
gamma_sub[9]       5.4e-3    0.03   1.42  -2.84  -0.87   -0.03   0.92    2.8   1667    1.0
gamma_sub[10]        0.03    0.04   1.45  -2.79  -0.91   -0.02   0.94   2.94   1709    1.0
alpha_mu_phi         0.58  8.0e-3   0.27   0.06   0.36    0.61   0.82   0.98   1170   1.01
beta_mu_phi        2.9e-4  3.3e-6 1.4e-4 9.5e-5 2.2e-4  2.9e-4 3.4e-4 4.5e-4   1767    1.0
gamma_mu_phi          0.5  8.8e-3   0.29   0.03   0.24     0.5   0.76   0.97   1088   1.01
alpha_sub_phi[1]      0.6  8.0e-3   0.31   0.01   0.34    0.65   0.88    1.0   1514    1.0
alpha_sub_phi[2]     0.59  7.7e-3    0.3   0.02   0.34    0.62   0.86    1.0   1562    1.0
alpha_sub_phi[3]     0.56  8.1e-3   0.32 5.8e-3   0.28     0.6   0.85    1.0   1544    1.0
alpha_sub_phi[4]     0.57  8.1e-3   0.32 6.7e-3   0.29    0.61   0.86    1.0   1524   1.01
alpha_sub_phi[5]     0.57  8.1e-3   0.32 8.5e-3   0.29    0.61   0.86    1.0   1538    1.0
alpha_sub_phi[6]     0.57  7.9e-3   0.32 9.0e-3   0.28    0.61   0.86    1.0   1621    1.0
alpha_sub_phi[7]     0.57  8.2e-3   0.32 8.1e-3   0.29     0.6   0.87    1.0   1489    1.0
alpha_sub_phi[8]     0.57  8.0e-3   0.32 4.5e-3   0.29    0.61   0.86    1.0   1569    1.0
alpha_sub_phi[9]     0.57  8.1e-3   0.32 7.1e-3   0.29    0.62   0.86    1.0   1559   1.01
alpha_sub_phi[10]    0.57  7.8e-3   0.32 8.1e-3   0.29    0.62   0.86    1.0   1658    1.0
beta_sub_phi[1]    4.9e-4  3.4e-6 1.0e-4 3.1e-4 4.2e-4  4.9e-4 5.6e-4 6.9e-4    874   1.01
beta_sub_phi[2]    4.2e-4  2.0e-6 8.8e-5 2.5e-4 3.5e-4  4.1e-4 4.7e-4 6.0e-4   1954    1.0
beta_sub_phi[3]    2.9e-4  3.3e-6 1.7e-4 2.5e-5 1.7e-4  2.8e-4 3.8e-4 7.1e-4   2811    1.0
beta_sub_phi[4]    2.2e-4  3.9e-6 1.1e-4 2.5e-5 1.3e-4  2.2e-4 3.0e-4 4.3e-4    811    1.0
beta_sub_phi[5]    2.3e-4  4.9e-6 1.3e-4 1.6e-5 1.4e-4  2.3e-4 3.2e-4 5.0e-4    692    1.0
beta_sub_phi[6]    2.5e-4  3.9e-6 1.4e-4 1.8e-5 1.4e-4  2.4e-4 3.4e-4 5.3e-4   1258    1.0
beta_sub_phi[7]    3.2e-4  1.6e-6 6.6e-5 1.9e-4 2.8e-4  3.2e-4 3.6e-4 4.5e-4   1642    1.0
beta_sub_phi[8]    2.5e-4  3.9e-6 1.1e-4 3.3e-5 1.7e-4  2.5e-4 3.3e-4 4.7e-4    845   1.01
beta_sub_phi[9]    2.7e-4  3.9e-6 1.6e-4 2.1e-5 1.6e-4  2.6e-4 3.6e-4 6.3e-4   1635    1.0
beta_sub_phi[10]   2.6e-4  3.1e-6 1.1e-4 3.6e-5 1.8e-4  2.6e-4 3.3e-4 4.7e-4   1284    1.0
gamma_sub_phi[1]      0.5  9.7e-3   0.33 2.6e-3    0.2     0.5   0.82    1.0   1176    1.0
gamma_sub_phi[2]      0.5  8.1e-3   0.33 2.2e-3   0.19    0.49   0.81    1.0   1693    1.0
gamma_sub_phi[3]      0.5  8.7e-3   0.33 2.9e-3   0.18     0.5   0.81    1.0   1474    1.0
gamma_sub_phi[4]      0.5  8.5e-3   0.33 2.0e-3   0.18    0.49   0.82    1.0   1547    1.0
gamma_sub_phi[5]      0.5  9.2e-3   0.34 1.8e-3   0.18    0.49   0.82    1.0   1331    1.0
gamma_sub_phi[6]      0.5  9.2e-3   0.33 2.0e-3   0.18     0.5   0.81    1.0   1310    1.0
gamma_sub_phi[7]     0.51  9.4e-3   0.34 1.9e-3   0.18     0.5   0.83    1.0   1264   1.01
gamma_sub_phi[8]      0.5  8.6e-3   0.33 2.6e-3   0.18     0.5   0.82    1.0   1530    1.0
gamma_sub_phi[9]      0.5    0.01   0.33 2.2e-3   0.19    0.49   0.82    1.0   1034    1.0
gamma_sub_phi[10]     0.5  8.7e-3   0.34 2.5e-3   0.18    0.49   0.83    1.0   1488    1.0
log_LL[1]           -1032    0.04   1.12  -1035  -1032   -1032  -1031  -1031    871   1.01
log_LL[2]           -1291    0.02   0.85  -1293  -1291   -1291  -1290  -1290   2197    1.0
log_LL[3]          -12.26  2.4e-3   0.16 -12.67 -12.31  -12.23 -12.16 -12.09   4433    1.0
log_LL[4]          -317.7    0.02   0.55 -319.1 -317.9  -317.5 -317.3 -317.2   1251    1.0
log_LL[5]           -71.1    0.02   0.57 -72.42 -71.43  -71.01 -70.66 -70.34    711    1.0
log_LL[6]          -69.61  8.3e-3   0.37  -70.5 -69.77  -69.52 -69.34 -69.22   1968    1.0
log_LL[7]           -1820    0.02    0.7  -1822  -1820   -1820  -1819  -1819   1641   1.01
log_LL[8]          -295.0  6.3e-3   0.36 -296.0 -295.1  -294.9 -294.8 -294.7   3281    1.0
log_LL[9]          -32.12  4.9e-3   0.25 -32.76 -32.21  -32.07 -31.96 -31.87   2584    1.0
log_LL[10]         -392.3  7.4e-3   0.37 -393.2 -392.4  -392.1 -392.0 -392.0   2493    1.0
lp__                -5329    1.08  13.77  -5354  -5339   -5330  -5321  -5302    163   1.01

Samples were drawn using NUTS at Wed Mar 10 14:04:57 2021.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
